row_number,strt_lon,strt_lat,end_lon,end_lat,m,km,minutes,hours
4899,-71.120886,42.373231,-71.102221,42.343912,5395,5.395,21,0.35
4900,-71.102221,42.343912,-71.106541,42.378551,6787,6.787,27.53333333,0.458888889
4901,-71.045461,42.351821,-71.120886,42.373231,9977,9.977,37.13333333,0.618888889
4902,-71.10042,42.363562,-71.081572,42.340799,3183,3.183,16.33333333,0.272222222
4903,-71.118579,42.373268,-71.114214,42.366621,1125,1.125,3.9,0.065
4904,-71.090188,42.362429,-71.118579,42.373268,2917,2.917,9.366666667,0.156111111
4905,-71.082578,42.345959,-71.107593,42.383405,5594,5.594,23.8,0.396666667
4906,-71.096413,42.386428,-71.105495,42.366426,3192,3.192,13.85,0.230833333
4907,-71.095319,42.379637,-71.060868,42.366231,4035,4.035,18.5,0.308333333
4908,-71.084105,42.362613,-71.060868,42.366231,2739,2.739,12.36666667,0.206111111
4909,-71.101427,42.374035,-71.13401,42.348607,5342,5.342,22.15,0.369166667
4910,-71.114214,42.366621,-71.084105,42.362613,3479,3.479,12.26666667,0.204444444
4911,-71.119945,42.379011,-71.102797,42.337171,7554,7.554,28.86666667,0.481111111
4912,-71.045461,42.351821,-71.119945,42.379011,8160,8.16,31.15,0.519166667
4913,-71.121851,42.372244,-71.057054,42.344023,9557,9.557,37.88333333,0.631388889
4914,-71.065928,42.325941,-71.105884,42.350075,5391,5.391,24.18333333,0.403055556
4915,-71.076847,42.341332,-71.119945,42.379011,6373,6.373,26.66666667,0.444444444
4916,-71.1031,42.36507,-71.102797,42.337171,4745,4.745,18.73333333,0.312222222
4917,-71.057007,42.330825,-71.088088,42.347265,3781,3.781,17.71666667,0.295277778
4918,-71.119945,42.379011,-71.107593,42.383405,1616,1.616,5.833333333,0.097222222
4919,-71.0441,42.3475,-71.119945,42.379011,8977,8.977,33.01666667,0.550277778
4920,-71.065928,42.325941,-71.07278,42.355596,5151,5.151,21.88333333,0.364722222
4921,-71.089886,42.350851,-71.119945,42.379011,6022,6.022,22.43333333,0.373888889
4922,-71.096831,42.349046,-71.101427,42.374035,4657,4.657,19.43333333,0.323888889
4923,-71.118579,42.373268,-71.090188,42.362429,3031,3.031,10,0.166666667
4924,-71.10042,42.363562,-71.088088,42.347265,2169,2.169,11.18333333,0.186388889
4925,-71.096413,42.386428,-71.076847,42.341332,8559,8.559,33.81666667,0.563611111
4926,-71.10042,42.363562,-71.045461,42.351821,5678,5.678,22.13333333,0.368888889
4927,-71.107593,42.383405,-71.118579,42.373268,2465,2.465,9.1,0.151666667
4928,-71.096413,42.386428,-71.05896,42.354594,6525,6.525,28.6,0.476666667
4929,-71.10042,42.363562,-71.093198,42.3581,869,0.869,2.95,0.049166667
4930,-71.121851,42.372244,-71.084105,42.362613,3783,3.783,13.25,0.220833333
4931,-71.120886,42.373231,-71.045461,42.351821,9584,9.584,36.35,0.605833333
4932,-71.10042,42.363562,-71.105495,42.366426,525,0.525,1.816666667,0.030277778
4933,-71.102221,42.343912,-71.07131,42.360877,4473,4.473,17.35,0.289166667
4934,-71.059364,42.359677,-71.090188,42.362429,3059,3.059,15.05,0.250833333
4935,-71.050877,42.363871,-71.119945,42.379011,7415,7.415,26.23333333,0.437222222
4936,-71.116174,42.351313,-71.10042,42.363562,2309,2.309,12.7,0.211666667
4937,-71.095319,42.379637,-71.105495,42.366426,1930,1.93,10.91666667,0.181944444
4938,-71.121851,42.372244,-71.082578,42.345959,6856,6.856,26.28333333,0.438055556
4939,-71.119945,42.379011,-71.07278,42.355596,7856,7.856,27.26666667,0.454444444
4940,-71.107593,42.383405,-71.102221,42.343912,7576,7.576,29.21666667,0.486944444
4941,-71.096413,42.386428,-71.10042,42.363562,3311,3.311,13.81666667,0.230277778
4942,-71.105495,42.366426,-71.076472,42.366981,3654,3.654,12.7,0.211666667
4943,-71.089886,42.350851,-71.062679,42.352409,2614,2.614,13.35,0.2225
4944,-71.10042,42.363562,-71.109927,42.340299,3470,3.47,17.5,0.291666667
4945,-71.123338,42.341598,-71.096831,42.349046,2392,2.392,11.15,0.185833333
4946,-71.123338,42.341598,-71.109927,42.340299,1202,1.202,6.1,0.101666667
4947,-71.068922,42.341522,-71.116205,42.332799,4871,4.871,17.25,0.2875
4948,-71.057007,42.330825,-71.119945,42.379011,8390,8.39,36.15,0.6025
4949,-71.116205,42.332799,-71.129791,42.36337,4415,4.415,18.78333333,0.313055556
4950,-71.081572,42.340799,-71.082578,42.345959,851,0.851,3.716666667,0.061944444
4951,-71.07278,42.355596,-71.10042,42.363562,3250,3.25,11.9,0.198333333
4952,-71.107593,42.383405,-71.050699,42.357143,6287,6.287,27.43333333,0.457222222
4953,-71.066289,42.351146,-71.10042,42.363562,4212,4.212,15.8,0.263333333
4954,-71.121851,42.372244,-71.109927,42.340299,4538,4.538,22.25,0.370833333
4955,-71.10042,42.363562,-71.1065,42.338629,4782,4.782,18.8,0.313333333
4956,-71.137313,42.353334,-71.121851,42.372244,2811,2.811,13.01666667,0.216944444
4957,-71.084105,42.362613,-71.114214,42.366621,3193,3.193,13.4,0.223333333
4958,-71.10042,42.363562,-71.089886,42.350851,1759,1.759,7.283333333,0.121388889
4959,-71.120526,42.333689,-71.082674,42.348323,4434,4.434,15.01666667,0.250277778
4960,-71.123831,42.352261,-71.096413,42.386428,6538,6.538,27.56666667,0.459444444
4961,-71.07278,42.355596,-71.076472,42.366981,2872,2.872,10.76666667,0.179444444
4962,-71.1065,42.338629,-71.10042,42.363562,3697,3.697,19.03333333,0.317222222
4963,-71.119945,42.379011,-71.060868,42.366231,6316,6.316,23.55,0.3925
4964,-71.123338,42.341598,-71.076472,42.366981,6018,6.018,25.83333333,0.430555556
4965,-71.146452,42.357247,-71.119945,42.379011,4610,4.61,19.2,0.32
4966,-71.105495,42.366426,-71.121851,42.372244,1933,1.933,7.216666667,0.120277778
4967,-71.065928,42.325941,-71.10042,42.363562,5724,5.724,25.78333333,0.429722222
4968,-71.074182,42.338623,-71.10042,42.363562,4010,4.01,19.41666667,0.323611111
4969,-71.101427,42.374035,-71.09788,42.344763,4649,4.649,22.93333333,0.382222222
4970,-71.082578,42.345959,-71.0441,42.3475,4116,4.116,19.08333333,0.318055556
4971,-71.120886,42.373231,-71.05896,42.354594,8337,8.337,30.88333333,0.514722222
4972,-71.13401,42.348607,-71.101427,42.374035,5572,5.572,23.68333333,0.394722222
4973,-71.089886,42.350851,-71.10042,42.363562,1759,1.759,8.683333333,0.144722222
4974,-71.082578,42.345959,-71.065928,42.325941,3030,3.03,13.31666667,0.221944444
4975,-71.056067,42.362811,-71.121851,42.372244,9249,9.249,32.76666667,0.546111111
4976,-71.05896,42.354594,-71.076472,42.366981,3487,3.487,13.26666667,0.221111111
4977,-71.101427,42.374035,-71.123831,42.352261,4576,4.576,19.8,0.33
4978,-71.121851,42.372244,-71.088496,42.335911,6000,6,24.8,0.413333333
4979,-71.082578,42.345959,-71.09788,42.344763,1655,1.655,7.916666667,0.131944444
4980,-71.0441,42.3475,-71.107593,42.383405,8338,8.338,30.53333333,0.508888889
4981,-71.106541,42.378551,-71.102797,42.337171,6523,6.523,26.63333333,0.443888889
4982,-71.105495,42.366426,-71.105221,42.334073,5161,5.161,20.31666667,0.338611111
4983,-71.10042,42.363562,-71.082674,42.348323,2622,2.622,13.1,0.218333333
4984,-71.123338,42.341598,-71.123831,42.352261,2147,2.147,10.38333333,0.173055556
4985,-71.07403,42.334057,-71.114214,42.366621,7144,7.144,29.6,0.493333333
4986,-71.050877,42.363871,-71.120886,42.373231,7462,7.462,27.38333333,0.456388889
4987,-71.056868,42.360583,-71.120526,42.333689,7190,7.19,29,0.483333333
4988,-71.045461,42.351821,-71.084105,42.362613,4855,4.855,19.21666667,0.320277778
4989,-71.060868,42.366231,-71.119945,42.379011,6250,6.25,22.26666667,0.371111111
4990,-71.10042,42.363562,-71.055407,42.356755,4864,4.864,19.48333333,0.324722222
